trial_number,batch_size,dropout,ensemble_method,heads,hidden_dim,lr,num_layers,pooling,use_self_loops,weight_decay,val_accuracy,test_accuracy,state
0,512,0.5311989040672406,average,8,64,0.0005611516415334506,4,mean,True,0.0007969454818643932,0.9120879120879121,0.9194981704129639,COMPLETE
1,64,0.5399347564316719,transform,4,256,0.00019010245319870352,4,mean,True,3.8396292998041685e-05,0.9267399267399268,0.9226346053319394,COMPLETE
2,512,0.6040136042355622,concat,4,128,0.00011715937392307068,3,mean,True,0.000658628931758311,0.8846153846153846,0.8878724516466283,COMPLETE
3,64,0.5149101287359542,voting,4,256,0.0005170191786366995,3,mean,True,3.6464395589807184e-05,0.8717948717948718,0.6981181390486147,COMPLETE
4,512,0.5944429850323898,concat,4,256,0.0004187594718900631,3,mean,True,4.4706085467784903e-05,0.9194139194139194,0.9192368008363826,COMPLETE
5,32,0.5579502905827536,average,4,64,0.00031519872951938895,1,mean,True,6.618595597183474e-05,0.9212454212454212,0.9150548876110821,COMPLETE
6,512,0.544421562094146,concat,8,128,0.00432543242796456,2,mean,True,0.0005265761277157427,0.9523809523809523,0.939623627809723,COMPLETE
7,128,0.5289789744182446,average,4,128,0.0010124137770478635,3,add,True,1.2675278269816288e-05,0.9377289377289377,0.9273392577104025,COMPLETE
8,128,0.5452991550395876,concat,4,64,0.00012065637774378946,2,max,True,0.000151979806200342,0.9395604395604396,0.9087820177731312,COMPLETE
9,128,0.5678059582097401,concat,4,128,0.00030458224385894087,1,max,True,1.535343432485703e-05,0.9578754578754579,0.9566126502875065,COMPLETE
10,256,0.6864580683823573,transform,8,128,0.0026359316341675967,1,max,True,1.028002961790561e-05,0.9688644688644689,0.9712493465760585,COMPLETE
11,256,0.6905711070667138,transform,8,128,0.0023454784754309487,1,max,True,1.0395355452100848e-05,0.967032967032967,0.9639309984317825,COMPLETE
12,256,0.6997522614630052,transform,8,128,0.0031368025849073536,1,max,True,1.0307260964048493e-05,0.9652014652014652,0.9607945635128071,COMPLETE
13,256,0.6998724877283101,transform,8,128,0.00981822687818912,2,max,True,2.1657916677714228e-05,0.5970695970695971,0.5007841087297439,COMPLETE
14,256,0.6528147534597231,transform,8,128,0.0017986949352704015,1,max,True,0.00012481798558535302,0.9615384615384616,0.9560899111343439,COMPLETE
15,256,0.6587540285160273,transform,8,128,0.0019290544862810254,1,add,True,0.0002659393195491886,0.532967032967033,0.4992158912702561,COMPLETE
16,256,0.6625763533464153,voting,8,128,0.006885307780533039,2,max,True,2.2375584149584578e-05,0.8406593406593407,0.5007841087297439,COMPLETE
17,32,0.6374502264175451,transform,8,128,0.0011524793203815831,1,max,True,1.7381074174614803e-05,0.9688644688644689,0.9607945635128071,COMPLETE
18,32,0.6291828187521449,transform,8,256,0.0013787870379812284,2,max,True,2.1357282288407482e-05,0.8956043956043956,0.7838473601672765,COMPLETE
19,32,0.6318459760775503,transform,8,64,0.0008440902738965003,1,add,True,7.212001405714596e-05,0.8205128205128205,0.4992158912702561,COMPLETE
20,32,0.6765790687562495,voting,8,128,0.004327768787370985,2,max,True,2.6569534467793352e-05,0.5146520146520146,0.5007841087297439,COMPLETE
21,256,0.6819350509763684,transform,8,128,0.0024770880292550573,1,max,True,1.0522693911984864e-05,0.9706959706959707,0.9605331939362258,COMPLETE
22,256,0.6367525044416167,transform,8,128,0.0009516644567662319,1,max,True,1.4969818233615427e-05,0.9487179487179487,0.9453737584945112,COMPLETE
23,32,0.6783082187290445,transform,8,128,0.003170983673276489,1,max,True,1.5398093830237905e-05,0.9706959706959707,0.9568740198640878,COMPLETE
24,256,0.6775298019341348,transform,8,128,0.003824838863696679,1,max,True,1.0046438572353952e-05,0.9615384615384616,0.9453737584945112,COMPLETE
25,64,0.6774339753382853,transform,8,128,0.0028542878654757866,2,max,True,2.9595886102686127e-05,0.6575091575091575,0.5674333507579717,COMPLETE
26,32,0.6097775416650555,transform,8,128,0.006638700518944098,1,add,True,5.353272309816948e-05,0.5146520146520146,0.4992158912702561,COMPLETE
27,256,0.6678542852660441,transform,8,128,0.0015860512586638492,2,max,True,1.6437166250694017e-05,0.9084249084249084,0.6748562467328802,COMPLETE
28,256,0.6465272544407237,average,8,256,0.005566262348541639,1,max,True,3.0089668225756873e-05,0.967032967032967,0.9613173026659697,COMPLETE
29,32,0.6863107871732633,voting,8,64,0.0023249282841595457,4,max,True,0.0001982968359909372,0.7765567765567766,0.5007841087297439,COMPLETE
30,128,0.6174052079751244,average,8,64,0.00068546644388574,1,add,True,9.17484308808063e-05,0.924908424908425,0.921327757449033,COMPLETE
31,32,0.6458672915598391,transform,8,128,0.0012425379173042902,1,max,True,1.8079657221347346e-05,0.9743589743589743,0.9696811291165708,COMPLETE
32,32,0.6678351829233067,transform,8,128,0.0030106019526240204,1,max,True,1.3173956384832707e-05,0.9688644688644689,0.9568740198640878,COMPLETE
33,32,0.6846601475996283,transform,8,128,0.0013641081342516987,1,max,True,2.0515878387766057e-05,0.9706959706959707,0.9626241505488761,COMPLETE
34,32,0.6504638668504671,transform,8,128,0.0012519492099701368,1,max,True,3.665114835267979e-05,0.9706959706959707,0.9621014113957136,COMPLETE
35,32,0.5919205809471827,transform,8,256,0.0007493168834673407,2,max,True,1.9849420097734952e-05,0.9395604395604396,0.8724516466283324,COMPLETE
36,64,0.6693146446718552,transform,8,128,0.0005605304892033555,3,mean,True,4.569674284721934e-05,0.9285714285714286,0.9341348667015159,COMPLETE
37,512,0.6889649591761139,voting,4,128,0.0018602225620983738,1,max,True,2.8401456594010442e-05,0.8168498168498168,0.718504966021955,COMPLETE
38,32,0.5842144707169739,transform,8,256,0.0015080186977555626,4,mean,True,1.3299186772461007e-05,0.9560439560439561,0.9440669106116049,COMPLETE
