trial_number,batch_size,dropout,ensemble_method,heads,hidden_dim,lr,num_layers,pooling,use_self_loops,weight_decay,val_accuracy,test_accuracy,state
0,64,0.5311989040672406,average,8,64,0.0005611516415334506,4,mean,True,0.0007969454818643932,0.9032258064516129,0.8461538461538461,COMPLETE
1,32,0.5912139968434071,voting,8,256,0.0003823475224675188,1,add,True,0.00016738085788752134,0.8064516129032258,0.6425339366515838,COMPLETE
2,64,0.6818640804157564,average,4,128,0.0023359635026261607,4,max,True,7.591104805282687e-05,0.7741935483870968,0.7330316742081447,COMPLETE
3,32,0.6657475018303858,concat,4,128,0.0002465844721448739,4,mean,True,1.2315571723666024e-05,0.7741935483870968,0.7692307692307693,COMPLETE
4,128,0.6246596253655116,voting,4,256,0.0034877126245459306,4,add,True,1.4063366777718176e-05,0.9032258064516129,0.8190045248868778,COMPLETE
5,64,0.5062858371373469,transform,8,64,0.0009718319944817398,4,add,True,0.00011103647313054615,0.5806451612903226,0.45701357466063347,COMPLETE
6,32,0.6078684483831301,average,8,256,0.0018484491720988621,4,mean,True,0.0005532496914298506,0.8709677419354839,0.8144796380090498,COMPLETE
7,64,0.5727259204758588,voting,4,256,0.00047340227734041945,1,mean,True,0.0007688106801474952,0.7741935483870968,0.7963800904977375,COMPLETE
8,128,0.6523239230657435,average,4,64,0.00019489008462344248,1,mean,True,9.525889086580776e-05,0.8064516129032258,0.7601809954751131,COMPLETE
9,32,0.6381875476204931,average,8,128,0.00010793832090127293,4,add,True,0.00010572705046816883,0.7096774193548387,0.6244343891402715,COMPLETE
10,64,0.5271204564419474,concat,8,64,0.007767353816237056,3,max,True,0.0003358795725091045,0.9032258064516129,0.7828054298642534,COMPLETE
11,128,0.5571708616890197,voting,4,64,0.006608925297111543,3,add,True,1.0754273361515863e-05,0.8709677419354839,0.751131221719457,COMPLETE
12,128,0.6055557786060064,transform,4,256,0.003208858679354596,3,mean,True,2.683757500475256e-05,0.9032258064516129,0.8506787330316742,COMPLETE
13,128,0.5467973432966308,voting,8,64,0.0009920562866268196,2,add,True,3.476974465465545e-05,0.7096774193548387,0.7420814479638009,COMPLETE
14,128,0.627231068635654,average,4,256,0.0038327609181514795,2,max,True,0.00033321033336416837,0.8064516129032258,0.8054298642533937,COMPLETE
15,64,0.5021978378487543,voting,8,256,0.0006563900324575174,3,mean,True,3.54380528401362e-05,0.8709677419354839,0.7873303167420814,COMPLETE
16,128,0.6959292999362457,concat,8,64,0.0014679207083755045,4,add,True,1.939099870562242e-05,0.8709677419354839,0.8280542986425339,COMPLETE
17,64,0.5836739157324443,transform,4,64,0.0042961465704627185,2,mean,True,0.0009387408284359451,0.9032258064516129,0.8280542986425339,COMPLETE
18,64,0.6220054319456739,voting,4,256,0.00990229737313131,3,add,True,5.2645153220412406e-05,0.8064516129032258,0.7647058823529411,COMPLETE
19,128,0.5384036032147655,average,8,128,0.0006429002184975098,4,max,True,0.0002793097961654798,0.8387096774193549,0.8099547511312217,COMPLETE
20,128,0.5683136820131045,average,8,256,0.0014430961937812877,3,add,True,0.00017617700648563271,0.8709677419354839,0.8190045248868778,COMPLETE
21,64,0.5284251349428959,concat,8,64,0.005470648126311347,3,max,True,0.0005250870668220458,0.8064516129032258,0.746606334841629,COMPLETE
22,64,0.5204763835743821,concat,8,64,0.009272906104716271,4,max,True,0.00036558487496610376,0.8387096774193549,0.7782805429864253,COMPLETE
23,64,0.5244898045156692,concat,8,64,0.0026946925383948017,3,max,True,0.00022224239320828979,0.8387096774193549,0.8280542986425339,COMPLETE
24,64,0.5433355066087853,concat,8,64,0.005134039459765549,4,max,True,0.0005440569955961795,0.8709677419354839,0.8190045248868778,COMPLETE
25,64,0.5702557240440628,concat,8,64,0.007232320789071311,2,max,True,0.000711400237677984,0.8709677419354839,0.8144796380090498,COMPLETE
26,64,0.5155415072400211,voting,4,64,0.00037501177396670807,3,mean,True,0.0004436117628700204,0.8064516129032258,0.8280542986425339,COMPLETE
27,64,0.5534032913949373,transform,8,64,0.002087034617644447,4,mean,True,1.7796004842394925e-05,0.8709677419354839,0.8144796380090498,COMPLETE
28,32,0.6198079148858326,voting,4,128,0.0006751019007495696,4,max,True,0.00015373918280245727,0.8709677419354839,0.7737556561085973,COMPLETE
29,128,0.5898538590087689,concat,8,256,0.0002927018151276817,3,add,True,0.0008967575157032828,0.8709677419354839,0.8235294117647058,COMPLETE
30,32,0.6380639179782791,average,8,256,0.0012739081828867175,2,add,True,6.031760526472685e-05,0.9032258064516129,0.8280542986425339,COMPLETE
31,128,0.6017178184968347,transform,4,256,0.003412786307631034,3,mean,True,2.2756915895098133e-05,0.8709677419354839,0.7692307692307693,COMPLETE
32,128,0.6098364774873589,transform,4,256,0.002988995498572665,3,mean,True,2.8713179919661934e-05,0.9032258064516129,0.8280542986425339,COMPLETE
33,128,0.6638382159661222,transform,4,256,0.007351677391555831,4,mean,True,1.2297300532611422e-05,0.8709677419354839,0.7828054298642534,COMPLETE
34,128,0.5937968173546474,transform,4,256,0.005184348557865681,4,mean,True,4.654237295257591e-05,0.9032258064516129,0.8144796380090498,COMPLETE
35,64,0.5811804248388986,transform,4,128,0.0023485234833966794,3,mean,True,1.5840655240362732e-05,0.9032258064516129,0.7737556561085973,COMPLETE
36,128,0.5326938560218994,voting,4,256,0.0017770082377122414,4,mean,True,0.00024470393145703377,0.7419354838709677,0.6470588235294118,COMPLETE
37,32,0.6455298633565895,average,4,64,0.004201616179509824,3,max,True,1.5041605311511773e-05,0.8709677419354839,0.8190045248868778,COMPLETE
38,64,0.5096347554609486,concat,8,256,0.0008154232063645787,1,mean,True,7.304659619014802e-05,0.8387096774193549,0.832579185520362,COMPLETE
39,128,0.6132098112165401,average,4,128,0.00045583139622641525,4,add,True,2.209428693431624e-05,0.8387096774193549,0.8054298642533937,COMPLETE
40,32,0.6769681372665739,voting,4,64,0.00013138567929114759,2,mean,True,1.061103008105974e-05,0.7741935483870968,0.7194570135746606,COMPLETE
41,64,0.5863687911507361,transform,4,64,0.004605224690273136,2,mean,True,0.0006809896910190256,0.8387096774193549,0.8280542986425339,COMPLETE
42,64,0.6314491824455736,transform,4,64,0.0032253568741973204,2,mean,True,0.000905347405084571,0.8709677419354839,0.8235294117647058,COMPLETE
43,64,0.5611029867090848,transform,4,64,0.00607061218393901,1,mean,True,0.0009823569402317555,0.8709677419354839,0.8461538461538461,COMPLETE
44,64,0.5998028749715106,transform,4,64,0.008259985027001551,2,mean,True,0.0006376043499734845,0.9032258064516129,0.8190045248868778,COMPLETE
45,64,0.5772713701070653,transform,4,64,0.00391667624090719,2,add,True,0.00041921112881124553,0.6451612903225806,0.48868778280542985,COMPLETE
46,128,0.5503227343793515,average,8,256,0.0023948944511300984,3,mean,True,0.000140921707242758,0.8709677419354839,0.8235294117647058,COMPLETE
47,64,0.6520062553442346,voting,4,64,0.006496913144933887,4,add,True,0.00031739164245573497,0.9032258064516129,0.8054298642533937,COMPLETE
48,128,0.5373719922815983,transform,8,256,0.0018320275477211817,2,max,True,3.226041478214344e-05,0.8709677419354839,0.8190045248868778,COMPLETE
49,64,0.5635538384095744,average,4,128,0.0011693702004839932,3,mean,True,8.964972572112443e-05,0.8709677419354839,0.8235294117647058,COMPLETE
50,128,0.5021457104819489,concat,8,64,0.0034664189254414142,1,add,True,0.0007830050333056327,0.8709677419354839,0.8371040723981901,COMPLETE
51,32,0.6380465699119116,average,8,256,0.0012099920442885934,2,add,True,5.722115057614547e-05,0.9032258064516129,0.8054298642533937,COMPLETE
52,32,0.620201044035163,average,8,256,0.000557079301257909,2,add,True,4.205823008049393e-05,0.8387096774193549,0.8099547511312217,COMPLETE
53,32,0.630772064148467,average,8,256,0.004639424761899987,2,add,True,6.62424278196256e-05,0.9032258064516129,0.8461538461538461,COMPLETE
54,32,0.6415455550312062,average,8,256,0.0008388644747850463,2,add,True,2.5748252458822525e-05,0.9032258064516129,0.832579185520362,COMPLETE
55,32,0.60232827678826,voting,8,256,0.002704963389436395,3,max,True,0.00011689937994118949,0.7741935483870968,0.6742081447963801,COMPLETE
56,64,0.6540826600460324,average,8,64,0.0015698934126133345,4,add,True,0.000495283358976171,0.7741935483870968,0.8416289592760181,COMPLETE
57,32,0.5179934192436791,concat,8,256,0.008158230803298364,3,max,True,4.034285030792913e-05,0.8709677419354839,0.8235294117647058,COMPLETE
58,64,0.6153767633797228,average,8,64,0.0002570210918469171,4,add,True,1.3983473875672485e-05,0.8709677419354839,0.7058823529411765,COMPLETE
59,128,0.5439623377890257,voting,4,256,0.0003657307200308082,2,mean,True,0.00020147470727841386,0.9032258064516129,0.8280542986425339,COMPLETE
60,64,0.6260631906793915,concat,8,64,0.006027803854684392,3,mean,True,0.0006307299707269584,0.8709677419354839,0.8280542986425339,COMPLETE
61,128,0.6045036829205224,transform,4,256,0.00294685401952853,3,mean,True,2.5884316838868538e-05,0.9032258064516129,0.8416289592760181,COMPLETE
62,128,0.6073175231041616,transform,4,256,0.002217155587934422,3,mean,True,3.0944588427548393e-05,0.8709677419354839,0.8371040723981901,COMPLETE
63,128,0.5960008922872049,transform,4,256,0.0037007623620316783,3,mean,True,0.0007910105496079322,0.9032258064516129,0.8235294117647058,COMPLETE
64,128,0.610304645792374,transform,4,256,0.0044470651638871105,3,mean,True,2.7723673332322433e-05,0.8709677419354839,0.7918552036199095,COMPLETE
65,128,0.5260578643372378,transform,4,256,0.002908477731240299,4,max,True,2.0519122217946753e-05,0.8709677419354839,0.7013574660633484,COMPLETE
66,128,0.5823215491814486,transform,4,128,0.0013509916037388458,3,mean,True,1.2187161650154568e-05,0.9032258064516129,0.832579185520362,COMPLETE
67,64,0.6332905070700365,voting,4,256,0.0053445674485185345,4,add,True,4.75294196306241e-05,0.9032258064516129,0.8099547511312217,COMPLETE
68,128,0.6239132039051706,concat,8,64,0.0020431332314539002,2,mean,True,1.7519511030638246e-05,0.8709677419354839,0.8280542986425339,COMPLETE
69,32,0.5104018253667557,average,4,256,0.0009712322957332712,1,max,True,6.102781285507497e-05,0.8387096774193549,0.7963800904977375,COMPLETE
70,64,0.5895671737102749,transform,8,64,0.000492704256873713,4,mean,True,0.0004172431660475277,0.5806451612903226,0.5113122171945701,COMPLETE
71,128,0.614115109482096,transform,4,256,0.004829655046660271,4,mean,True,3.896848475417785e-05,0.8709677419354839,0.7782805429864253,COMPLETE
72,128,0.5955631831195568,transform,4,256,0.00983205634870263,4,mean,True,4.5844223086990914e-05,0.8387096774193549,0.7873303167420814,COMPLETE
73,128,0.5957310178007098,transform,4,256,0.005644592577045988,4,mean,True,8.715209300540775e-05,0.8709677419354839,0.7963800904977375,COMPLETE
74,128,0.5736506053748482,transform,4,256,0.007483985055789727,4,mean,True,7.588197995164976e-05,0.8709677419354839,0.7873303167420814,COMPLETE
